Week ending,Jurisdiction,Age group,Cumulative number of people who have received at least 1 dose,Cumulative number of people who have completed the primary series,"Cumulative number of people who, in the last months, have completed the primary series or received a booster dose",Cumulative percent of people who have received at least 1 dose,Cumulative percent of people who have completed the primary series,"Cumulative percent of people who, in the last months, have completed the primary series or received a booster dose"
2020-12-19,Canada,Total population,"12,362",0,n/a,0.10%,0%,n/a
2020-12-19,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Newfoundland and Labrador,Total population,972,0,n/a,0.20%,0%,n/a
2020-12-19,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Nova Scotia,Total population,"1,092",0,n/a,0.10%,0%,n/a
2020-12-19,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Quebec,Total population,"4,728",0,n/a,0.10%,0%,n/a
2020-12-19,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Manitoba,Total population,894,0,n/a,0.10%,0%,n/a
2020-12-19,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Saskatchewan,Total population,"1,042",0,n/a,0.10%,0%,n/a
2020-12-19,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,British Columbia,Total population,"3,634",0,n/a,0.10%,0%,n/a
2020-12-19,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Yukon,Total population,0,0,n/a,0%,0%,n/a
2020-12-19,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Northwest Territories,Total population,0,0,n/a,0%,0%,n/a
2020-12-19,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Nunavut,Total population,0,0,n/a,0%,0%,n/a
2020-12-19,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-19,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Canada,Total population,"46,170",0,n/a,0.20%,0%,n/a
2020-12-26,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Newfoundland and Labrador,Total population,"1,785",0,n/a,0.30%,0%,n/a
2020-12-26,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Prince Edward Island,Total population,"1,146",0,n/a,0.70%,0%,n/a
2020-12-26,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Nova Scotia,Total population,"2,218",0,n/a,0.20%,0%,n/a
2020-12-26,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,New Brunswick,Total population,"2,606",0,n/a,0.30%,0%,n/a
2020-12-26,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Quebec,Total population,"17,216",0,n/a,0.20%,0%,n/a
2020-12-26,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Manitoba,Total population,"2,177",0,n/a,0.20%,0%,n/a
2020-12-26,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
