week_end	pruid	prename	prfname	numtotal_atleast1dose	numtotal_partially	numtotal_fully	numtotal_onlyfully	numtotal_additional	numtotal_1additional	numtotal_2nd_additional	numtotal_recent_fullyoradditional	proptotal_atleast1dose	proptotal_partially	proptotal_fully	proptotal_onlyfully	proptotal_additional	proptotal_1additional	proptotal_2nd_additional	proptotal_recent_fullyoradditional	num18plus_atleast1dose	num18plus_partially	num18plus_fully	num18plus_onlyfully	num18plus_additional	num18plus_1additional	num18plus_2nd_additional	num18plus_recent_fullyoradditional	prop18plus_atleast1dose	prop18plus_partially	prop18plus_fully	prop18plus_onlyfully	prop18plus_additional	prop18plus_1additional	prop18plus_2nd_additional	prop18plus_recent_fullyoradditional	num5plus_atleast1dose	num5plus_partially	num5plus_fully	num5plus_onlyfully	num5plus_additional	num5plus_1additional	num5plus_2nd_additional	num5plus_recent_fullyoradditional	prop5plus_atleast1dose	prop5plus_partially	prop5plus_fully	prop5plus_onlyfully	prop5plus_additional	prop5plus_1additional	prop5plus_2nd_additional	prop5plus_recent_fullyoradditional	num12plus_atleast1dose	num12plus_partially	num12plus_fully	num12plus_onlyfully	num12plus_additional	num12plus_1additional	num12plus_2nd_additional	num12plus_recent_fullyoradditional	prop12plus_atleast1dose	prop12plus_partially	prop12plus_fully	prop12plus_onlyfully	prop12plus_additional	prop12plus_1additional	prop12plus_2nd_additional	prop12plus_recent_fullyoradditional
2020-12-19	1	Canada	Canada	12362	12362	0						0.1	0.1	0																																																					
2020-12-19	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	972	972	0						0.2	0.2	0																																																					
2020-12-19	12	Nova Scotia	Nouvelle-Écosse	1092	1092	0						0.1	0.1	0																																																					
2020-12-19	24	Quebec	Québec	4728	4728	0						0.1	0.1	0																																																					
2020-12-19	46	Manitoba	Manitoba	894	894	0						0.1	0.1	0																																																					
2020-12-19	47	Saskatchewan	Saskatchewan	1042	1042	0						0.1	0.1	0																																																					
2020-12-19	59	British Columbia	Colombie-Britannique	3634	3634	0						0.1	0.1	0																																																					
2020-12-19	60	Yukon	Yukon	0	0	0						0	0	0																																																					
2020-12-19	61	Northwest Territories	Territoires du Nord-Ouest	0	0	0						0	0	0																																																					
2020-12-19	62	Nunavut	Nunavut	0	0	0						0	0	0																																																					
2020-12-26	1	Canada	Canada	46170	46170	0						0.2	0.2	0																																																					
2020-12-26	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	1785	1785	0						0.3	0.3	0																																																					
2020-12-26	11	Prince Edward Island	Île-du-Prince-Édouard	1146	1146	0						0.7	0.7	0																																																					
2020-12-26	12	Nova Scotia	Nouvelle-Écosse	2218	2218	0						0.2	0.2	0																																																					
2020-12-26	13	New Brunswick	Nouveau-Brunswick	2606	2606	0						0.3	0.3	0																																																					
