"","prename","week_end","age","numtotal_atleast1dose","numtotal_partially","numtotal_fully","numtotal_additional","numtotal_2nd_additional","numtotal_recent_fullyoradditional","proptotal_atleast1dose","proptotal_partially","proptotal_fully","proptotal_additional","proptotal_2nd_additional","proptotal_recent_fullyoradditional","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Unnamed: 22","Unnamed: 23","Unnamed: 24"
"1","Canada",2020-12-19,"80+",335,335,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Canada",2020-12-19,"All ages",12368,12368,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Newfoundland and Labrador",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Newfoundland and Labrador",2020-12-19,"All ages",972,972,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Nova Scotia",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Nova Scotia",2020-12-19,"All ages",1092,1092,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Quebec",2020-12-19,"80+",334,334,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Quebec",2020-12-19,"All ages",4728,4728,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Manitoba",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Manitoba",2020-12-19,"All ages",894,894,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Saskatchewan",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Saskatchewan",2020-12-19,"All ages",1048,1048,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","British Columbia",2020-12-19,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","British Columbia",2020-12-19,"All ages",3634,3634,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Yukon",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Yukon",2020-12-19,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Northwest Territories",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Northwest Territories",2020-12-19,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Nunavut",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Nunavut",2020-12-19,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Canada",2020-12-26,"80+",2229,2229,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Canada",2020-12-26,"All ages",46180,46180,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Newfoundland and Labrador",2020-12-26,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Newfoundland and Labrador",2020-12-26,"All ages",1785,1785,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Prince Edward Island",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Prince Edward Island",2020-12-26,"All ages",1152,1152,0,NA,NA,NA,0.7,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Nova Scotia",2020-12-26,"80+",5,5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Nova Scotia",2020-12-26,"All ages",2218,2218,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","New Brunswick",2020-12-26,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","New Brunswick",2020-12-26,"All ages",2606,2606,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Quebec",2020-12-26,"80+",1731,1731,0,NA,NA,NA,0.4,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Quebec",2020-12-26,"All ages",17221,17221,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Manitoba",2020-12-26,"80+",2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Manitoba",2020-12-26,"All ages",2177,2177,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Saskatchewan",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Saskatchewan",2020-12-26,"All ages",1782,1782,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Alberta",2020-12-26,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Alberta",2020-12-26,"All ages",4792,4792,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","British Columbia",2020-12-26,"80+",489,489,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","British Columbia",2020-12-26,"All ages",12447,12447,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Yukon",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Yukon",2020-12-26,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Northwest Territories",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Northwest Territories",2020-12-26,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Nunavut",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Nunavut",2020-12-26,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Canada",2021-01-02,"80+",6161,6161,0,NA,NA,NA,0.6,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Canada",2021-01-02,"All ages",82530,82530,0,NA,NA,NA,0.4,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Newfoundland and Labrador",2021-01-02,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Newfoundland and Labrador",2021-01-02,"All ages",1785,1785,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Prince Edward Island",2021-01-02,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Prince Edward Island",2021-01-02,"All ages",1674,1674,0,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Nova Scotia",2021-01-02,"80+",9,9,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Nova Scotia",2021-01-02,"All ages",2720,2720,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","New Brunswick",2021-01-02,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","New Brunswick",2021-01-02,"All ages",2886,2886,NA,NA,NA,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Quebec",2021-01-02,"80+",1795,1795,NA,NA,NA,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Quebec",2021-01-02,"All ages",28310,28310,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Manitoba",2021-01-02,"80+",2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Manitoba",2021-01-02,"All ages",3432,3432,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Saskatchewan",2021-01-02,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Saskatchewan",2021-01-02,"All ages",3540,3540,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Alberta",2021-01-02,"80+",708,708,0,NA,NA,NA,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Alberta",2021-01-02,"All ages",13383,13383,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","British Columbia",2021-01-02,"80+",3608,3608,0,NA,NA,NA,1.5,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","British Columbia",2021-01-02,"All ages",24670,24670,0,NA,NA,NA,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Yukon",2021-01-02,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Yukon",2021-01-02,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Northwest Territories",2021-01-02,"80+",38,38,0,NA,NA,NA,7.5,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
